Date,Price,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,,,,
2001-06-05,82.68196868896484,0.0,128.8000030517578,0.0,129.22999572753906,127.2699966430664,127.48999786376953,0.0,9115400
2001-06-06,81.99510955810547,0.0,127.7300033569336,0.0,128.8300018310547,127.36000061035156,128.8300018310547,0.0,12064900
2001-06-07,82.29037475585938,0.0,128.19000244140625,0.0,128.35000610351562,127.0,127.05000305175781,0.0,7355300
2001-06-08,81.52648162841797,0.0,127.0,0.0,127.87000274658203,126.13999938964844,127.69999694824219,0.0,8170600
2001-06-11,80.94871520996094,0.0,126.0999984741211,0.0,126.98999786376953,125.41000366210938,126.70999908447266,0.0,7012200
2001-06-12,80.8075180053711,0.0,125.87999725341797,0.0,126.73999786376953,124.04000091552734,124.86000061035156,0.0,9364400
2001-06-13,80.11421203613281,0.0,124.80000305175781,0.0,126.58000183105469,124.6500015258789,126.16999816894531,0.0,7629400
2001-06-14,78.31676483154297,0.0,122.0,0.0,124.30000305175781,121.75,124.18000030517578,0.0,12603000
2001-06-15,78.44293212890625,0.0,121.8499984741211,0.346,122.4000015258789,120.4000015258789,120.91000366210938,0.0,16821100
2001-06-18,78.0631332397461,0.0,121.26000213623047,0.0,122.44000244140625,120.91000366210938,121.6500015258789,0.0,11368300
2001-06-19,78.40435028076172,0.0,121.79000091552734,0.0,122.88999938964844,120.88999938964844,122.37999725341797,0.0,7732300
2001-06-20,78.81632995605469,0.0,122.43000030517578,0.0,122.86000061035156,121.0999984741211,121.19000244140625,0.0,8787200
2001-06-21,79.71117401123047,0.0,123.81999969482422,0.0,124.30999755859375,122.1500015258789,122.22000122070312,0.0,12259100
2001-06-22,79.08673095703125,0.0,122.8499984741211,0.0,123.58999633789062,122.16000366210938,123.48999786376953,0.0,12212000
2001-06-25,78.35924530029297,0.0,121.72000122070312,0.0,123.44000244140625,121.5,123.27999877929688,0.0,8406800
2001-06-26,78.24981689453125,0.0,121.55000305175781,0.0,122.38999938964844,120.56999969482422,120.9000015258789,0.0,8005800
2001-06-27,78.20475006103516,0.0,121.4800033569336,0.0,122.23999786376953,120.91000366210938,121.5999984741211,0.0,10105100
2001-06-28,78.63603973388672,0.0,122.1500015258789,0.0,123.94000244140625,121.93000030517578,122.0,0.0,10269300
2001-06-29,78.92581176757812,0.0,122.5999984741211,0.0,124.01000213623047,122.26000213623047,122.80000305175781,0.0,9824200
2001-07-02,79.91073608398438,0.0,124.12999725341797,0.0,124.31999969482422,122.62000274658203,122.80000305175781,0.0,8522200
2001-07-03,79.89143371582031,0.0,124.0999984741211,0.0,124.0999984741211,123.05000305175781,123.9800033569336,0.0,3303100
2001-07-05,78.3335189819336,0.0,121.68000030517578,0.0,123.6500015258789,121.66000366210938,123.06999969482422,0.0,5517900
2001-07-06,76.6404037475586,0.0,119.05000305175781,0.0,121.48999786376953,119.05000305175781,121.30999755859375,0.0,11665900
2001-07-09,77.05886840820312,0.0,119.69999694824219,0.0,120.54000091552734,119.19999694824219,119.48999786376953,0.0,8339300
2001-07-10,76.13182830810547,0.0,118.26000213623047,0.0,120.63999938964844,118.20999908447266,120.29000091552734,0.0,8630700
2001-07-11,76.20906829833984,0.0,118.37999725341797,0.0,118.88999938964844,117.08999633789062,118.0999984741211,0.0,15328600
2001-07-12,78.01808166503906,0.0,121.19000244140625,0.0,121.47000122070312,119.30999755859375,119.5,0.0,12002800
2001-07-13,78.69400024414062,0.0,122.23999786376953,0.0,122.31999969482422,120.62000274658203,120.83999633789062,0.0,10433800
2001-07-16,77.70903778076172,0.0,120.70999908447266,0.0,122.27999877929688,120.29000091552734,121.7699966430664,0.0,6915300
